id,user_id,type,data,created_at,updated_at
64a8c2e3-7491-465f-a839-6da2d3b73ff5,822176c1-7d00-49a1-9818-05ba526c9321,booking,"{""content_title"": ""A Long Goodbye Panel"", ""time"": ""12:34""}",2026-03-25 12:34:00+00,2026-03-25 12:34:00+00
d1c8fc99-2d40-40ca-a5c2-d66a39532649,4dda6dc5-6400-418f-9aaf-f4eafe837e87,no_show_warning_1,"{""content_title"": ""Quantum Computing Intro"", ""time"": ""11:36""}",2026-03-13 11:36:00+00,2026-03-13 11:36:00+00
f8211536-db67-4f4a-80eb-c0ad8e74b330,529ec8d1-045c-4a4b-9c06-351a52ae5d9c,booking,"{""content_title"": ""Crafting Crimes AR"", ""time"": ""11:16""}",2026-03-17 11:16:00+00,2026-03-17 11:16:00+00
d764cc9e-13fe-4fdd-bbd0-9f2e899710a7,352198ee-66dd-4318-967f-f8dc532262d9,booking,"{""content_title"": ""Indulto Creative Talk"", ""time"": ""09:19""}",2026-04-05 09:19:00+00,2026-04-05 09:19:00+00
bf697a99-782f-419a-a58f-9555a1464058,a572e1fc-ff11-4875-8646-60f13f97be4e,booking,"{""content_title"": ""Deep Ocean Dive"", ""time"": ""13:10""}",2026-03-28 13:10:00+00,2026-03-28 13:10:00+00
cdfedf96-badd-4ddc-ba47-01fc38e86f19,b21fd889-1e9d-46a4-b226-a8ae8f8d5005,booking,"{""content_title"": ""Dark Rooms VR"", ""time"": ""20:04""}",2026-04-01 20:04:00+00,2026-04-01 20:04:00+00
06ffd892-5d9e-423d-9c0f-d97c9e1b39e8,d4ff2cfb-4f9f-4efe-9925-fd2207ba2ce1,booking,"{""content_title"": ""Quantum Computing Intro"", ""time"": ""14:55""}",2026-03-19 14:55:00+00,2026-03-19 14:55:00+00
53d28b68-c487-4b40-a3c8-ce97134cc093,7b9ec929-9116-49e5-8ba5-aa96481418c2,no_show_warning_1,"{""content_title"": ""AR Anatomy Stand"", ""time"": ""16:21""}",2026-03-28 16:21:00+00,2026-03-28 16:21:00+00
c699f7c2-09d4-4701-bddb-ab2dfb4de4c6,ebdaab75-0297-4113-8d05-30c537c4a1d4,booking,"{""content_title"": ""Quantum Computing Intro"", ""time"": ""11:59""}",2026-03-27 11:59:00+00,2026-03-27 11:59:00+00
220efad2-dce8-406b-a3e2-508fb5f6acfb,c0744c45-e2e6-4c8b-a3e8-e8e432b0d084,booking,"{""content_title"": ""Web3 Showcase"", ""time"": ""16:28""}",2026-03-26 16:28:00+00,2026-03-26 16:28:00+00
737b9123-a5ee-4aaa-b7d4-3b9325861862,ca1ddba8-f515-4dc8-abb2-7c5e915bf942,booking,"{""content_title"": ""Startup Pitches"", ""time"": ""10:53""}",2026-03-18 10:53:00+00,2026-03-18 10:53:00+00
e6310654-0ae6-4a50-bacc-678d05e49981,426e3f68-e3eb-444e-8975-c06c0075e00c,booking,"{""content_title"": ""The Clouds Are Up"", ""time"": ""12:22""}",2026-03-13 12:22:00+00,2026-03-13 12:22:00+00
89b0122c-8875-4b7a-b8f9-8c7d08a89983,b9ff45e4-5776-46d4-be2e-838a71a0f4c8,booking,"{""content_title"": ""Mars Colony VR"", ""time"": ""20:57""}",2026-04-01 20:57:00+00,2026-04-01 20:57:00+00
2fc116ae-66f1-40ee-bd46-6161e4ea1b65,c31b13ed-ac4c-4bb2-8fa5-3907b47310a8,booking,"{""content_title"": ""Robotics Live"", ""time"": ""09:22""}",2026-03-18 09:22:00+00,2026-03-18 09:22:00+00
f20a2586-84a5-497e-b5ba-30de9f859d5b,25d87923-39de-4040-863c-d3c0c6325287,no_show_warning_1,"{""content_title"": ""NextGen Hardware"", ""time"": ""12:29""}",2026-03-18 12:29:00+00,2026-03-18 12:29:00+00
e50a4b8e-aac0-4697-8709-baa3d8a503d0,22de5625-a044-4491-9e56-da8cafa79ec0,booking,"{""content_title"": ""Dark Rooms VR"", ""time"": ""17:44""}",2026-03-21 17:44:00+00,2026-03-21 17:44:00+00
3f817ffc-18b8-4a61-8c5a-4fa70ada8b39,d653df1e-e3e0-43ce-8816-4bb6e269acdb,cancellation,"{""content_title"": ""VC Speed Dating"", ""time"": ""18:41""}",2026-04-09 18:41:00+00,2026-04-09 18:41:00+00
929c5846-7b39-49d7-99a2-cab26c7185e2,f8220a8d-5ee3-4657-bf5e-07c2cdd91742,no_show_warning_1,"{""content_title"": ""Dark Rooms VR"", ""time"": ""14:57""}",2026-03-28 14:57:00+00,2026-03-28 14:57:00+00
0c43eba2-c331-491a-a716-8659e61da895,0dcfc06a-9ce3-436f-86a2-4be92bceff85,booking,"{""content_title"": ""Interactive History"", ""time"": ""14:01""}",2026-03-20 14:01:00+00,2026-03-20 14:01:00+00
7d538e51-2d86-43b4-b8e8-dc11d3910386,766c125a-3374-48a9-941e-3ec3eaeb6819,booking,"{""content_title"": ""Robotics Live"", ""time"": ""10:04""}",2026-04-04 10:04:00+00,2026-04-04 10:04:00+00
7416eba3-cea2-4bd9-9d81-4c3b992f20c4,0674ef1b-dba5-4d38-82a8-f24747c3548e,booking,"{""content_title"": ""Quantum Computing Intro"", ""time"": ""20:06""}",2026-03-18 20:06:00+00,2026-03-18 20:06:00+00
89f8d248-6e3b-4273-a292-e0aab4ed5610,059e84c1-4b8b-40d9-836e-8d05306432f1,booking,"{""content_title"": ""A Long Goodbye Panel"", ""time"": ""14:36""}",2026-03-26 14:36:00+00,2026-03-26 14:36:00+00
b03897a4-84ab-497f-aec8-aa0b4b015260,2c1a3d2d-7aaa-44f8-af4b-0eb88a2ff28b,booking,"{""content_title"": ""Startup Pitches"", ""time"": ""20:52""}",2026-03-25 20:52:00+00,2026-03-25 20:52:00+00
e61c8d58-14be-4796-bc5f-2f97dcb61b9e,b8ecce1e-90cc-43e8-b0f2-2d03a4333611,booking,"{""content_title"": ""Indulto Creative Talk"", ""time"": ""18:53""}",2026-03-27 18:53:00+00,2026-03-27 18:53:00+00
9f85d308-f7df-47e8-931f-1baa907c4315,75af8df0-9c55-4642-96d3-c6534caea481,booking,"{""content_title"": ""Deep Ocean Dive"", ""time"": ""20:53""}",2026-04-05 20:53:00+00,2026-04-05 20:53:00+00
a67ae369-ee63-4e9e-a74d-e4b60fc09098,b3f4cd8d-2550-444e-8b59-a81c905c208a,booking,"{""content_title"": ""Crafting Crimes AR"", ""time"": ""11:05""}",2026-03-24 11:05:00+00,2026-03-24 11:05:00+00
3db3d160-dafb-46e2-9e9c-c012089b7fff,6ff4b208-5b5a-42dc-bae1-b44d1cb3e13d,booking,"{""content_title"": ""AR Anatomy Stand"", ""time"": ""09:59""}",2026-03-17 09:59:00+00,2026-03-17 09:59:00+00
cfaf47e3-092a-4e73-8a5e-8a4682965a9e,2af85e44-9ff9-4fef-83bf-de7530a6c869,booking,"{""content_title"": ""A Long Goodbye Panel"", ""time"": ""08:54""}",2026-03-18 08:54:00+00,2026-03-18 08:54:00+00
ab46a92b-62b2-40a7-9926-86be3b5037cd,426e3f68-e3eb-444e-8975-c06c0075e00c,booking,"{""content_title"": ""Crafting Crimes AR"", ""time"": ""14:07""}",2026-03-20 14:07:00+00,2026-03-20 14:07:00+00
1455061c-3057-4d10-8cb2-d4d795bd8c35,d4ff2cfb-4f9f-4efe-9925-fd2207ba2ce1,booking,"{""content_title"": ""A Long Goodbye Panel"", ""time"": ""18:09""}",2026-03-25 18:09:00+00,2026-03-25 18:09:00+00
f3173f05-0e26-4063-a634-c47ec13f829e,226a5411-b48b-4138-94ef-c3a0f905e468,cancellation,"{""content_title"": ""The Clouds Are Up"", ""time"": ""20:48""}",2026-04-12 20:48:00+00,2026-04-12 20:48:00+00
eaf0d9b5-b33d-4856-8f5c-c50d4a243265,6d8299c9-fdd7-46ca-9753-338e597ddd37,booking,"{""content_title"": ""The Clouds Are Up"", ""time"": ""10:04""}",2026-03-26 10:04:00+00,2026-03-26 10:04:00+00
3b47d25c-cd1d-451a-bca5-8068272e7ed7,ea46f340-5ae0-4629-a669-5ac3c2b3eef6,booking,"{""content_title"": ""Future City Layers"", ""time"": ""11:07""}",2026-04-03 11:07:00+00,2026-04-03 11:07:00+00
a9dab9d9-0e6e-4c6d-83ca-c95934d8deed,e4e04f63-81d6-4a5a-9507-2697fdf21db5,booking,"{""content_title"": ""Virtual Palace"", ""time"": ""19:20""}",2026-04-01 19:20:00+00,2026-04-01 19:20:00+00
06c92556-aca1-4361-9c2d-97989fd1503e,351336a8-c1fc-460f-a9ab-06eb05c88037,booking,"{""content_title"": ""NextGen Hardware"", ""time"": ""09:43""}",2026-03-22 09:43:00+00,2026-03-22 09:43:00+00
1a2705a4-f9b7-485e-8d32-3405eba35086,50e4bea2-4a02-4da1-8dc7-beef66f1e5b5,booking,"{""content_title"": ""The Clouds Are Up"", ""time"": ""18:25""}",2026-03-19 18:25:00+00,2026-03-19 18:25:00+00
4be93661-ff5a-46a7-bc83-e155633624d6,c03905aa-439a-4ea2-88e7-642b4464fa7f,booking,"{""content_title"": ""Mars Colony VR"", ""time"": ""13:04""}",2026-03-15 13:04:00+00,2026-03-15 13:04:00+00
5c9c55e6-a769-42f6-ad9b-9ee1270813f3,3d9fd365-32f8-498a-8ed4-6a47924ae7f2,booking,"{""content_title"": ""Decision Maker Summit"", ""time"": ""11:40""}",2026-04-06 11:40:00+00,2026-04-06 11:40:00+00
93ceb4c0-6b9e-4eb9-8c09-e173534464ab,ef988c76-6b55-41a1-90e5-cacc349e3a08,booking,"{""content_title"": ""The Clouds Are Up"", ""time"": ""15:44""}",2026-04-04 15:44:00+00,2026-04-04 15:44:00+00
31b08fd7-11f6-4b7d-bd50-489423bc2c34,fe4d910c-04e3-4a79-b0b0-b7dd8abb8ba8,booking,"{""content_title"": ""Interactive History"", ""time"": ""18:12""}",2026-04-12 18:12:00+00,2026-04-12 18:12:00+00
93dbe0af-6bc0-4eda-9956-d8d1afc3ee54,6c4e5580-788a-4ab9-8904-5b3fa331e023,booking,"{""content_title"": ""Quantum Computing Intro"", ""time"": ""13:57""}",2026-04-04 13:57:00+00,2026-04-04 13:57:00+00
2d7e148a-1a7e-45bb-a91d-b528ef3037f7,26c6c082-2f97-4ef5-b1c1-2a1a55cb0f3a,booking,"{""content_title"": ""Indulto Creative Talk"", ""time"": ""09:27""}",2026-04-01 09:27:00+00,2026-04-01 09:27:00+00
d4a621bb-191c-4657-b98f-9b12d7c158d4,4edb20b0-49c3-4be5-9629-bc11f7a3562b,booking,"{""content_title"": ""AI in Digital Art"", ""time"": ""16:08""}",2026-03-13 16:08:00+00,2026-03-13 16:08:00+00
ba0590dc-8ac5-4a63-9c48-a3389adfd052,6b88863a-8c03-4938-adc9-75b625c861bc,booking,"{""content_title"": ""VC Speed Dating"", ""time"": ""12:38""}",2026-03-27 12:38:00+00,2026-03-27 12:38:00+00
cd0c0fc5-0906-4904-ae7e-cbaafcd760f6,baf1bf94-1900-4af0-b43e-d0cbc2db3fc8,booking,"{""content_title"": ""Interactive History"", ""time"": ""09:36""}",2026-03-24 09:36:00+00,2026-03-24 09:36:00+00
5d70b946-7d02-46e1-b5b4-85a9748cb852,6d57b99a-5bc5-46ae-aee4-65e77e712f35,booking,"{""content_title"": ""Web3 Showcase"", ""time"": ""10:10""}",2026-03-14 10:10:00+00,2026-03-14 10:10:00+00
